Fruit,Nut,Almond,שקד
Fruit,Tree,Apple,תפוח
Fruit,Tree,Apricot,משמש
Veg,Flower,Asparagus,אספרגוס
Veg,Fruit,Aubergine,חציל
Veg,Tree,Avocado,אבוקדו
Fruit,Tropic,Banana,בננה
Veg,Root,Beetroot,סלק
Veg,Seed,Bean,שעועית
Veg,Flower,Broccoli,ברוקולי
Veg,Leaf,Cabbage,כרוב
Veg,Root,Carrot,גזר
Fruit,Tree,Cherry,דובדבן
Fruit,Citrus,Clementine,קלמנטינה
Veg,Seed,Corn,תירס
Veg,Fruit,Cucumber,מלפפון
Fruit,Tropic,Date,תמר
Fruit,Tropic,Fig,תאנה
Veg,Root,Garlic,שום
Fruit,Tree,Grape,ענבים
Fruit,Tropic,Guava,גויבה
Fruit,Tropic,Kiwi,קיווי
Veg,Leaf,Lettuce,חסה
Fruit,Citrus,Lemon,לימון
Fruit,Tropic,Mango,מנגו
Fruit,Bush,Melon,מלון
Other,Fungus,Mushroom,פטרייה
Fruit,Tree,Nectarine,נקטרינה
Veg,Tree,Olive,זית
Fruit,Citrus,Orange,תפוז
Veg,Root,Onion,בצל
Fruit,Tree,Pear,אגס
Veg,Fruit,Pepper,פלפל
Fruit,Tropic,Pineapple,אננס
Veg,Tuber,Potato,תפוח אדמה
Veg,Fruit,Pumpkin,דלעת
Veg,Root,Radish,
Fruit,Bush,Strawberry,תות
Veg,Tuber,Sweet potato,בטטה
Veg,Fruit,Tomato,עגניה
Veg,Root,Turnip,לפת
Fruit,Tree,Plum,שזיף
Fruit,Nut,Walnut,אגוז מלך
Fruit,Bush,Watermelon,אבטיח
Veg,Fruit,Zucchini,זוקיני